Loading globalbam_chr.s3d...
Processing S3D:  globalbam_chr.s3d Skip Images:  true
[PFS] Directory count: 147 at offset 2246896
  [0] Entry: CRC=0x3b5aa92, Offset=516760, Size=4224
  [1] Entry: CRC=0x84e799e, Offset=472096, Size=16512
  [2] Entry: CRC=0x90d94e4, Offset=415403, Size=640
  [3] Entry: CRC=0x913230d, Offset=126971, Size=32896
  [4] Entry: CRC=0x98c8d32, Offset=616621, Size=16512
  [5] Entry: CRC=0xa2e7fae, Offset=294796, Size=192
  [6] Entry: CRC=0xa30c847, Offset=36731, Size=65664
  [7] Entry: CRC=0xaba3f99, Offset=685900, Size=2176
  [8] Entry: CRC=0xb7f8c74, Offset=279801, Size=192
  [9] Entry: CRC=0xe6f002f, Offset=202987, Size=16512
  [10] Entry: CRC=0x1057810c, Offset=279881, Size=192
  [11] Entry: CRC=0x110672d6, Offset=294854, Size=192
  [12] Entry: CRC=0x1118c53f, Offset=32063, Size=8320
  [13] Entry: CRC=0x1225999c, Offset=415970, Size=640
  [14] Entry: CRC=0x123b2e75, Offset=123738, Size=4224
  [15] Entry: CRC=0x12a4804a, Offset=624252, Size=4224
  [16] Entry: CRC=0x159fef63, Offset=645167, Size=4224
  [17] Entry: CRC=0x16bc0429, Offset=677523, Size=2176
  [18] Entry: CRC=0x17e029a9, Offset=339805, Size=32896
  [19] Entry: CRC=0x1d7e48e6, Offset=237699, Size=4224
  [20] Entry: CRC=0x1e5da3ac, Offset=270109, Size=2176
  [21] Entry: CRC=0x20e1c083, Offset=339747, Size=192
  [22] Entry: CRC=0x231717a7, Offset=209681, Size=16512
  [23] Entry: CRC=0x2475836c, Offset=418214, Size=1152
  [24] Entry: CRC=0x24f49aba, Offset=601319, Size=32896
  [25] Entry: CRC=0x26079bfc, Offset=279712, Size=192
  [26] Entry: CRC=0x280db95c, Offset=272913, Size=640
  [27] Entry: CRC=0x2b2e5216, Offset=240371, Size=1152
  [28] Entry: CRC=0x2bb9246f, Offset=471551, Size=640
  [29] Entry: CRC=0x2ecdbd1a, Offset=519119, Size=4224
  [30] Entry: CRC=0x30065f6e, Offset=239690, Size=2176
  [31] Entry: CRC=0x30912917, Offset=470986, Size=640
  [32] Entry: CRC=0x3157acb4, Offset=232069, Size=16512
  [33] Entry: CRC=0x31d2c46d, Offset=419417, Size=16512
  [34] Entry: CRC=0x3325b424, Offset=271936, Size=1152
